tag,context
wearables,"Wearable computers, also known as body-borne computers or wearables, are miniature electronic devices that are worn under, with, or on top of clothing. This class of wearable technology has been developed for general or special purpose information technologies. It is also used in media development. Wearable computers are especially useful for applications that require more complex computational support, such as accelerometers or gyroscopes, than just hardware coded logic strained by the physical hardware of the system. Merchandiser often use the broadest definition, as any computing device worn on the body. This article page will use the broadest definition.
Smartwatches and the Fitbit system are the most common form, worn on the wrist. Google Glass is an optical head-mounted display supplying a augmented reality perspective, controlled by novel gestural movements.
One common feature of wearable computers is their persistence of activity.
Many issues are common to wearables as with mobile computing, ambient intelligence and ubiquitous computing research communities. These include power management and heat dissipation, software architectures, wireless and personal area networks, and data management, all of which are essential for overall data quality and trust in the device.
Next generation wearables most probably would repeat the trend of mobile phones market – they would come down to one single device combining all daily required functions. Many companies are considering the smart necklace to become the solution form-factor due to its relatively big size that could host extensive amount of hardware, ears (as audio player and for communication through build-in voice controlled communicator or through external smartphone as remote headset with earphones) and mouth (a wide microphonmets for fashion and appearance issues and over belt-attachable devices for minimizing wires utilization."
cyber security,"Computer security, also known as cyber security or IT security, is the protection of computer systems from the theft and damage to their hardware, software or information, as well as from disruption or misdirection of the services they provide.
Cyber security includes controlling physical access to the hardware, as well as protecting against harm that may come via network access, data and code injection. Also, due to malpractice by operators, whether intentional, accidental, IT security is susceptible to being tricked into deviating from secure procedures through various methods.
The field is of growing importance due to the increasing reliance on computer systems and the Internet, wireless networks such as Bluetooth and Wi-Fi, the growth of ""smart"" devices, including smartphones, televisions and tiny devices as part of the Internet of Things."
management,"Management (or managing) is the administration of an organization, whether it is a business, a not-for-profit organization, or government body. Management includes the activities of setting the strategy of an organization and coordinating the efforts of its employees (or of volunteers) to accomplish its objectives through the application of available resources, such as financial, natural, technological, and human resources. The term ""management"" may also refer to those people who manage an organization.
Social scientists study management as an academic discipline, investigating areas such as social organization and organizational leadership. Some people study management at colleges or universities; major degrees in management include the Bachelor of Commerce (B.Com.) and Master of Business Administration (MBA.) and, for the public sector, the Master of Public Administration (MPA) degree. Individuals who aim to become management specialists or experts, management researchers, or professors may complete the Doctor of Management (DM), the Doctor of Business Administration (DBA), or the PhD in Business Administration or Management.
Larger organizations generally have three levels of managers, which are typically organized in a hierarchical, pyramid structure:
Senior managers, such as members of a Board of Directors, a Chief Executive Officer (CEO) or a President of an organization, set the strategic goals of the organization and make decisions on how the overall organization will operate. Senior managers provide direction to the middle managers who report to them.
Middle managers, examples of which would include branch managers, regional managers and section managers, provide direction to front-line managers. Middle managers communicate the strategic goals of senior management to the front-line managers.
Lower managers, such as supervisors and front-line team leaders, oversee the work of regular employees (or volunteers, in some voluntary organizations) and provide direction on their work.
In smaller organizations, an individual manager may have a much wider scope. A single manager may perform several roles or even all of the roles commonly observed in a large organization."
Machine Learning,"Machine learning is a field of computer science that gives computers the ability to learn without being explicitly programmed.
Arthur Samuel, an American pioneer in the field of computer gaming and artificial intelligence, coined the term ""Machine Learning"" in 1959 while at IBM. Evolved from the study of pattern recognition and computational learning theory in artificial intelligence, machine learning explores the study and construction of algorithms that can learn from and make predictions on data – such algorithms overcome following strictly static program instructions by making data-driven predictions or decisions, through building a model from sample inputs. Machine learning is employed in a range of computing tasks where designing and programming explicit algorithms with good performance is difficult or infeasible; example applications include email filtering, detection of network intruders or malicious insiders working towards a data breach, optical character recognition (OCR), learning to rank, and computer vision.
Machine learning is closely related to (and often overlaps with) computational statistics, which also focuses on prediction-making through the use of computers. It has strong ties to mathematical optimization, which delivers methods, theory and application domains to the field. Machine learning is sometimes conflated with data mining, where the latter subfield focuses more on exploratory data analysis and is known as unsupervised learning. Machine learning can also be unsupervised and be used to learn and establish baseline behavioral profiles for various entities and then used to find meaningful anomalies.
Within the field of data analytics, machine learning is a method used to devise complex models and algorithms that lend themselves to prediction; in commercial use, this is known as predictive analytics. These analytical models allow researchers, data scientists, engineers, and analysts to ""produce reliable, repeatable decisions and results"" and uncover ""hidden insights"" through learning from historical relationships and trends in the data.
According to the Gartner hype cycle of 2016, machine learning is at its peak of inflated expectations. Effective machine learning is difficult because finding patterns is hard and often not enough training data is available; as a result, machine-learning programs often fail to deliver."
Artificial Intelligence,"Artificial intelligence (AI, also machine intelligence, MI) is Intelligence displayed by machines, in contrast with the natural intelligence (NI) displayed by humans and other animals. In computer science AI research is defined as the study of ""intelligent agents"": any device that perceives its environment and takes actions that maximize its chance of success at some goal. Colloquially, the term ""artificial intelligence"" is applied when a machine mimics ""cognitive"" functions that humans associate with other human minds, such as ""learning"" and ""problem solving"".
The scope of AI is disputed: as machines become increasingly capable, tasks considered as requiring ""intelligence"" are often removed from the definition, a phenomenon known as the AI effect, leading to the quip ""AI is whatever hasn't been done yet."" For instance, optical character recognition is frequently excluded from ""artificial intelligence"", having become a routine technology. Capabilities generally classified as AI as of 2017 include successfully understanding human speech, competing at a high level in strategic game systems (such as chess and Go), autonomous cars, intelligent routing in content delivery networks, military simulations, and interpreting complex data, including images and videos.
Artificial intelligence was founded as an academic discipline in 1956, and in the years since has experienced several waves of optimism, followed by disappointment and the loss of funding (known as an ""AI winter""), followed by new approaches, success and renewed funding. For most of its history, AI research has been divided into subfields that often fail to communicate with each other.
The traditional problems (or goals) of AI research include reasoning, knowledge, planning, learning, natural language processing, perception and the ability to move and manipulate objects. General intelligence is among the field's long-term goals. Approaches include statistical methods, computational intelligence, and traditional symbolic AI. Many tools are used in AI, including versions of search and mathematical optimization, neural networks and methods based on statistics, probability and economics. The AI field draws upon computer science, mathematics, psychology, linguistics, philosophy, neuroscience, artificial psychology and many others.
The field was founded on the claim that human intelligence ""can be so precisely described that a machine can be made to simulate it"". This raises philosophical arguments about the nature of the mind and the ethics of creating artificial beings endowed with human-like intelligence, issues which have been explored by myth, fiction and philosophy since antiquity. Some people also consider AI a danger to humanity if it progresses unabatedly.
In the twenty-first century, AI techniques have experienced a resurgence following concurrent advances in computer power, large amounts of data, and theoretical understanding; and AI techniques have become an essential part of the technology industry, helping to solve many challenging problems in computer science."
IT Services,"IT service management (ITSM) refers to the entirety of activities – directed by policies, organized and structured in processes and supporting procedures – that are performed by an organization to plan, design, deliver, operate and control information technology (IT) services offered to customers. It is thus concerned with the implementation of IT services that meet customers' needs, and it is performed by the IT service provider through an appropriate mix of people, process and information technology.
Differing from more technology-oriented IT management approaches like network management and IT systems management, IT service management is characterized by adopting a process approach towards management, focusing on customer needs and IT services for customers rather than IT systems, and stressing continual improvement."
information services,"An information broker collects information about individuals from public records and private sources including census and change of address records, motor vehicle and driving records, user-contributed material to social networking sites such as Facebook, Twitter and LinkedIn, media and court reports, voter registration lists, consumer purchase histories, most-wanted lists and terrorist watch lists, bank card transaction records, health care authorities, and web browsing histories.
The data are aggregated to create individual profiles, often made up of thousands of individual pieces of information such as a person's age, race, gender, height, weight, marital status, religious affiliation, political affiliation, occupation, household income, net worth, home ownership status, investment habits, product preferences and health-related interests. Brokers then sell the profiles to other organizations that use them mainly to target advertising and marketing towards specific groups, to verify a person's identity including for purposes of fraud detection, and to sell to individuals and organizations so they can research people for various reasons. Data brokers also often sell the profiles to government agencies, such as the FBI, thus allowing law enforcement agencies to circumvent laws that protect privacy.

"
biotechnology,"Biotechnology is the use of living systems and organisms to develop or make products, or ""any technological application that uses biological systems, living organisms, or derivatives thereof, to make or modify products or processes for specific use"" (UN Convention on Biological Diversity, Art. 2). Depending on the tools and applications, it often overlaps with the (related) fields of bioengineering, biomedical engineering, biomanufacturing, molecular engineering, etc.
For thousands of years, humankind has used biotechnology in agriculture, food production, and medicine. The term is largely believed to have been coined in 1919 by Hungarian engineer Károly Ereky. In the late 20th and early 21st centuries, biotechnology has expanded to include new and diverse sciences such as genomics, recombinant gene techniques, applied immunology, and development of pharmaceutical therapies and diagnostic tests."
Software,"Computer software, or simply software, is a part of a computer system that consists of data or computer instructions, in contrast to the physical hardware from which the system is built. In computer science and software engineering, computer software is all information processed by computer systems, programs and data. Computer software includes computer programs, libraries and related non-executable data, such as online documentation or digital media. Computer hardware and software require each other and neither can be realistically used on its own.
At the lowest level, executable code consists of machine language instructions specific to an individual processor—typically a central processing unit (CPU). A machine language consists of groups of binary values signifying processor instructions that change the state of the computer from its preceding state. For example, an instruction may change the value stored in a particular storage location in the computer—an effect that is not directly observable to the user. An instruction may also (indirectly) cause something to appear on a display of the computer system—a state change which should be visible to the user. The processor carries out the instructions in the order they are provided, unless it is instructed to ""jump"" to a different instruction, or is interrupted (by now multi-core processors are dominant, where each core can run instructions in order; then, however, each application software runs only on one core by default, but some software has been made to run on many).
The majority of software is written in high-level programming languages that are easier and more efficient for programmers to use because they are closer than machine languages to natural languages. High-level languages are translated into machine language using a compiler or an interpreter or a combination of the two. Software may also be written in a low-level assembly language, which has strong correspondence to the computer's machine language instructions and is translated into machine language using an assembler."
online shopping,"Online shopping is a form of electronic commerce which allows consumers to directly buy goods or services from a seller over the Internet using a web browser. Consumers find a product of interest by visiting the website of the retailer directly or by searching among alternative vendors using a shopping search engine, which displays the same product's availability and pricing at different e-retailers. As of 2016, customers can shop online using a range of different computers and devices, including desktop computers, laptops, tablet computers and smartphones.
An online shop evokes the physical analogy of buying products or services at a regular ""bricks-and-mortar"" retailer or shopping center; the process is called business-to-consumer (B2C) online shopping. When an online store is set up to enable businesses to buy from another businesses, the process is called business-to-business (B2B) online shopping. A typical online store enables the customer to browse the firm's range of products and services, view photos or images of the products, along with information about the product specifications, features and prices.
Online stores typically enable shoppers to use ""search"" features to find specific models, brands or items. Online customers must have access to the Internet and a valid method of payment in order to complete a transaction, such as a credit card, an Interac-enabled debit card, or a service such as PayPal. For physical products (e.g., paperback books or clothes), the e-tailer ships the products to the customer; for digital products, such as digital audio files of songs or software, the e-tailer typically sends the file to the customer over the Internet. The largest of these online retailing corporations are Alibaba, Amazon.com, and eBay."
social media marketing,"Social media marketing is the use of social media platforms and websites to promote a product or service. Although the terms e-marketing and digital marketing are still dominant in academia, social media marketing is becoming more popular for both practitioners and researchers. Most social media platforms have built-in data analytics tools, which enable companies to track the progress, success, and engagement of ad campaigns. Companies address a range of stakeholders through social media marketing, including current and potential customers, current and potential employees, journalists, bloggers, and the general public. On a strategic level, social media marketing includes the management of a marketing campaign, governance, setting the scope (e.g. more active or passive use) and the establishment of a firm's desired social media ""culture"" and ""tone.""
To use social media effectively, firms should learn to allow customers and Internet users to post user-generated content (e.g., online comments, product reviews, etc.), also known as ""earned media,"" rather than use marketer-prepared advertising copy. While often associated with companies, as of 2016, a range of not-for-profit organizations and government organizations are engaging in social media marketing."
data analytics,"Data analysis, also known as analysis of data or data analytics, is a process of inspecting, cleansing, transforming, and modeling data with the goal of discovering useful information, suggesting conclusions, and supporting decision-making. Data analysis has multiple facets and approaches, encompassing diverse techniques under a variety of names, in different business, science, and social science domains.
Data mining is a particular data analysis technique that focuses on modeling and knowledge discovery for predictive rather than purely descriptive purposes, while business intelligence covers data analysis that relies heavily on aggregation, focusing on business information. In statistical applications data analysis can be divided into descriptive statistics, exploratory data analysis (EDA), and confirmatory data analysis (CDA). EDA focuses on discovering new features in the data and CDA on confirming or falsifying existing hypotheses. Predictive analytics focuses on application of statistical models for predictive forecasting or classification, while text analytics applies statistical, linguistic, and structural techniques to extract and classify information from textual sources, a species of unstructured data. All are varieties of data analysis.
Data integration is a precursor to data analysis, and data analysis is closely linked to data visualization and data dissemination. The term data analysis is sometimes used as a synonym for data modeling."
product development,"In business and engineering, new product development (NPD) covers the complete process of bringing a new product to market. A central aspect of NPD is product design, along with various business considerations. New product development is described broadly as the transformation of a market opportunity into a product available for sale. The product can be tangible (something physical which one can touch) or intangible (like a service, experience, or belief), though sometimes services and other processes are distinguished from ""products."" NPD requires an understanding of customer needs and wants, the competitive environment, and the nature of the market. Cost, time and quality are the main variables that drive customer needs. Aiming at these three variables, companies develop continuous practices and strategies to better satisfy customer requirements and to increase their own market share by a regular development of new products. There are many uncertainties and challenges which companies must face throughout the process. The use of best practices and the elimination of barriers to communication are the main concerns for the management of the NPD process."
personal health,"Personal, social, health and economic (PSHE) education has in various forms been part of the National Curriculum for schools in UK since 2000. Some aspects, but not all, have been compulsory. PSHE education is defined by the schools inspectorate Ofsted as a planned programme to help children and young people develop fully as individuals and as members of families and social and economic communities. Its goal is to equip young people with the knowledge, understanding, attitudes and practical skills to live healthily, safely, productively and responsibly.
In Wales, the comparable element of the state school curriculum topic is Personal and Social Education (PSE). In Ireland, it is Social, Personal and Health education (SPHE). It is also known as PSHEE (Personal, Social, Health and Economic Education), PSED (Personal, Social and Emotional Development) and PSHCE (Personal, Social, Health and Citizenship Education).

"
outsourcing,"In business, outsourcing is ""an agreement in which one company contracts-out a part of their existing internal activity to another company"". It involves the contracting out of a business process (e.g. payroll processing, claims processing) and operational, and/or non-core functions (e.g. manufacturing, facility management, call center support) to another party (see also business process outsourcing). The concept ""outsourcing"" came from the American Glossary 'outside resourcing' and it dates back to at least 1981. Outsourcing sometimes, though not always, involves transferring employees and assets from one firm to another. Outsourcing is also the practice of handing over control of public services to private enterprise.
Outsourcing includes both foreign and domestic contracting, and sometimes includes offshoring (relocating a business function to a distant country) or nearshoring (transferring a business process to a nearby country). Outsourcing is often confused with offshoring, however, they can be distinguished: a company can outsource (work with a service provider) and not offshore to a distant country. For example, in 2003 Procter & Gamble outsourced their facilities' management support, but it did not involve offshoring. Financial savings from lower international labor rates can provide a major motivation for outsourcing or offshoring. There can be tremendous savings from lower international labor rates when offshoring.
In contrast, insourcing entails bringing processes handled by third-party firms in-house, and is sometimes accomplished via vertical integration. However, a business can provide a contract service to another organization without necessarily insourcing that business process."
e-commerce platforms,"E-commerce is a transaction of buying or selling online. Electronic commerce draws on technologies such as mobile commerce, electronic funds transfer, supply chain management, Internet marketing, online transaction processing, electronic data interchange (EDI), inventory management systems, and automated data collection systems. Modern electronic commerce typically uses the World Wide Web for at least one part of the transaction's life cycle although it may also use other technologies such as e-mail. Typical e-commerce transactions include the purchase of online books (such as Amazon) and music purchases (music download in the form of digital distribution such as iTunes Store), and to a less extent, customized/personalized online liquor store inventory services.
E-commerce businesses may also employ some or all of the followings:
Online shopping web sites for retail sales direct to consumers
Providing or participating in online marketplaces, which process third-party business-to-consumer or consumer-to-consumer sales
Business-to-business buying and selling;
Gathering and using demographic data through web contacts and social media
Business-to-business (B2B) electronic data interchange
Marketing to prospective and established customers by e-mail or fax (for example, with newsletters)
Engaging in pretail for launching new products and services
Online financial exchanges for currency exchanges or trading purposes."
Analytics,"Analytics is the discovery, interpretation, and communication of meaningful patterns in data. Especially valuable in areas rich with recorded information, analytics relies on the simultaneous application of statistics, computer programming and operations research to quantify performance.
Organizations may apply analytics to business data to describe, predict, and improve business performance. Specifically, areas within analytics include predictive analytics, prescriptive analytics, enterprise decision management, descriptive analytics, cognitive analytics, retail analytics, store assortment and stock-keeping unit optimization, marketing optimization and marketing mix modeling, web analytics, call analytics, speech analytics, sales force sizing and optimization, price and promotion modeling, predictive science, credit risk analysis, and fraud analytics. Since analytics can require extensive computation (see big data), the algorithms and software used for analytics harness the most current methods in computer science, statistics, and mathematics."
retailers,"Retail markets and shops have a very ancient history, dating back to antiquity. Over the centuries, retail shops were transformed from little more than ""rude booths"" to the sophisticated shopping malls that we know today.
Retailing involves the process of selling consumer goods or services to customers through multiple channels of distribution to earn a profit. Retailers satisfy demand identified through a supply chain. Some of the earliest retailers were itinerant peddlers. The term ""retailer"" is typically applied where a service provider fills the small orders of a large number of individuals, who are end-users, rather than large orders of a small number of wholesale, corporate or government clientele. Shopping generally refers to the act of buying products. Sometimes this is done to obtain final goods, including necessities such as food and clothing; sometimes it takes place as a recreational activity. Recreational shopping often involves window shopping (just looking, not buying) and browsing: it does not always result in a purchase.
Modern retailers typically make a variety of strategic level decisions including the type of store, the market to be served, the optimal product assortment, customer service, supporting services and the store's overall market positioning. Once the strategic retail plan is in place, retailers devise the retail mix which includes product, price, place, promotion, personnel and presentation. In the digital age, an increasing number of retailers are seeking to reach broader markets by selling through multiple channels, including both bricks and mortar and online retailing. Digital technologies are also changing the way that consumers pay for goods and services. Retailing support services may also include the provision of credit, delivery services, advisory services, stylist services and a range of other supporting services.
Retail shops occur in a diverse range of types and in many different contexts – from strip shopping centres in residential streets through to large, indoor shopping malls. Shopping streets may restrict traffic to pedestrians only. Sometimes a shopping street has a partial or full roof to create a more comfortable shopping environment – protecting customers from various types of weather conditions such as extreme temperatures, winds or precipitation. Forms of non-shop retailing include online retailing (a type of electronic-commerce used for business-to-consumer (B2C) transactions) and mail order."
Diversified Financial Services,"Diversified financials is a specific category of the Global Industry Classification Standard (GICS) that is used by the financial community. It includes a range of consumer and commercially oriented companies offering a wide variety of financial products and services, including various lending products (such as home equity loans and credit cards), insurance, and securities and investment products.
Many of these firms in this category are non-banking financial companies, specialist organisations like stock exchanges or financial holding companies that were created through consolidation of banks, insurance companies and brokerage firms to become universal banks."
retail technology,"Retail markets and shops have a very ancient history, dating back to antiquity. Over the centuries, retail shops were transformed from little more than ""rude booths"" to the sophisticated shopping malls that we know today.
Retailing involves the process of selling consumer goods or services to customers through multiple channels of distribution to earn a profit. Retailers satisfy demand identified through a supply chain. Some of the earliest retailers were itinerant peddlers. The term ""retailer"" is typically applied where a service provider fills the small orders of a large number of individuals, who are end-users, rather than large orders of a small number of wholesale, corporate or government clientele. Shopping generally refers to the act of buying products. Sometimes this is done to obtain final goods, including necessities such as food and clothing; sometimes it takes place as a recreational activity. Recreational shopping often involves window shopping (just looking, not buying) and browsing: it does not always result in a purchase.
Modern retailers typically make a variety of strategic level decisions including the type of store, the market to be served, the optimal product assortment, customer service, supporting services and the store's overall market positioning. Once the strategic retail plan is in place, retailers devise the retail mix which includes product, price, place, promotion, personnel and presentation. In the digital age, an increasing number of retailers are seeking to reach broader markets by selling through multiple channels, including both bricks and mortar and online retailing. Digital technologies are also changing the way that consumers pay for goods and services. Retailing support services may also include the provision of credit, delivery services, advisory services, stylist services and a range of other supporting services.
Retail shops occur in a diverse range of types and in many different contexts – from strip shopping centres in residential streets through to large, indoor shopping malls. Shopping streets may restrict traffic to pedestrians only. Sometimes a shopping street has a partial or full roof to create a more comfortable shopping environment – protecting customers from various types of weather conditions such as extreme temperatures, winds or precipitation. Forms of non-shop retailing include online retailing (a type of electronic-commerce used for business-to-consumer (B2C) transactions) and mail order."
product design,"Product design as a verb is to create a new product to be sold by a business to its customers. A very broad concept, it is essentially the efficient and effective generation and development of ideas through a process that leads to new products. Thus, it is a major aspect of new product development.
Due to the absence of a consensually accepted definition that reflects the breadth of the topic sufficiently, two discrete, yet interdependent, definitions are needed: one that explicitly defines product design in reference to the artifact, the other that defines the product design process in relation to this artifact.
Product design as a noun: the set of properties of an artifact, consisting of the discrete properties of the form (i.e., the aesthetics of the tangible good and/or service) and the function (i.e., its capabilities) together with the holistic properties of the integrated form and function.
Product design process: the set of strategic and tactical activities, from idea generation to commercialization, used to create a product design. In a systematic approach, product designers conceptualize and evaluate ideas, turning them into tangible inventions and products. The product designer's role is to combine art, science, and technology to create new products that people can use. Their evolving role has been facilitated by digital tools that now allow designers to communicate, visualize, analyze and actually produce tangible ideas in a way that would have taken greater manpower in the past.
Product design is sometimes confused with (and certainly overlaps with) industrial design, and has recently become a broad term inclusive of service, software, and physical product design. Industrial design is concerned with bringing artistic form and usability, usually associated with craft design and ergonomics, together in order to mass-produce goods. Other aspects of product design include engineering design, particularly when matters of functionality or utility (e.g. problem-solving) are at issue, though such boundaries are not always clear."
smartphone,"A smartphone is a handheld personal computer with a mobile operating system and an integrated mobile broadband cellular network connection for voice, SMS, and Internet data communication; most if not all smartphones also support Wi-Fi. Smartphones are typically pocket-sized, as opposed to tablets, which are much larger than a pocket. They are able to run a variety of third-party software components (""apps"") from places like the Google Play Store or Apple App Store, and can receive bug fixes and gain additional functionality through operating system software updates. Modern smartphones have a touchscreen color display with a graphical user interface that covers the front surface and enables the user to use a virtual keyboard to type and press onscreen icons to activate ""app"" features. They integrate and now largely fulfill most people's needs for a telephone, digital camera and video camera, GPS navigation, a media player, clock, news, calculator, web browsing, handheld video games, flashlight, compass, an address book, a note-taking application, digital messaging, an event calendar, etc. Typical smartphones will include one or more of the following sensors: magnetometer, proximity sensor, barometer, gyroscope or accelerometer. Since the early 2010's, smartphones have adopted integrated virtual assistants, such as Siri, Google Assistant, Alexa, Cortana, and Bixby. Most smartphones produced from 2012 onward have high-speed mobile broadband 4G LTE, motion sensors, and mobile payment features.
In 1999 the Japanese firm NTT DoCoMo released the first smartphones to achieve mass adoption within a country. Smartphones became widespread in the late 2000s, following the release of the iPhone. In the third quarter of 2012, one billion smartphones were in use worldwide. Global smartphone sales surpassed the sales figures for feature phones in early 2013."
legal services,"In its most general sense, the practice of law involves giving legal advice to clients, drafting legal documents for clients, and representing clients in legal negotiations and court proceedings such as lawsuits, and is applied to the professional services of a lawyer or attorney at law, barrister, solicitor, or civil law notary. However, there is a substantial amount of overlap between the practice of law and various other professions where clients are represented by agents. These professions include real estate, banking, accounting, and insurance. Moreover, a growing number of legal document assistants (LDAs) are offering services which have traditionally been offered only by lawyers and their employee paralegals. Many documents may now be created by computer-assisted drafting libraries, where the clients are asked a series of questions that are posed by the software in order to construct the legal documents."
E-Commerce,"E-commerce is a transaction of buying or selling online. Electronic commerce draws on technologies such as mobile commerce, electronic funds transfer, supply chain management, Internet marketing, online transaction processing, electronic data interchange (EDI), inventory management systems, and automated data collection systems. Modern electronic commerce typically uses the World Wide Web for at least one part of the transaction's life cycle although it may also use other technologies such as e-mail. Typical e-commerce transactions include the purchase of online books (such as Amazon) and music purchases (music download in the form of digital distribution such as iTunes Store), and to a less extent, customized/personalized online liquor store inventory services.
E-commerce businesses may also employ some or all of the followings:
Online shopping web sites for retail sales direct to consumers
Providing or participating in online marketplaces, which process third-party business-to-consumer or consumer-to-consumer sales
Business-to-business buying and selling;
Gathering and using demographic data through web contacts and social media
Business-to-business (B2B) electronic data interchange
Marketing to prospective and established customers by e-mail or fax (for example, with newsletters)
Engaging in pretail for launching new products and services
Online financial exchanges for currency exchanges or trading purposes."
healthtech,Hannah Barnes (born 4 May 1993) is a British racing cyclist. She raced for MG Maxifuel Pro Cycling in 2013 and joined UnitedHealthcare for 2014. She is the sister of fellow racing cyclist Alice Barnes.
biotech,"Biotechnology is the use of living systems and organisms to develop or make products, or ""any technological application that uses biological systems, living organisms, or derivatives thereof, to make or modify products or processes for specific use"" (UN Convention on Biological Diversity, Art. 2). Depending on the tools and applications, it often overlaps with the (related) fields of bioengineering, biomedical engineering, biomanufacturing, molecular engineering, etc.
For thousands of years, humankind has used biotechnology in agriculture, food production, and medicine. The term is largely believed to have been coined in 1919 by Hungarian engineer Károly Ereky. In the late 20th and early 21st centuries, biotechnology has expanded to include new and diverse sciences such as genomics, recombinant gene techniques, applied immunology, and development of pharmaceutical therapies and diagnostic tests."
bitcoin,"Bitcoin is a worldwide cryptocurrency and digital payment system called the first decentralized digital currency, as the system works without a central repository or single administrator. It was invented by an unknown person or group of people under the name Satoshi Nakamoto and released as open-source software in 2009. The system is peer-to-peer, and transactions take place between users directly, without an intermediary. These transactions are verified by network nodes and recorded in a public distributed ledger called a blockchain.
Bitcoins are created as a reward for a process known as mining. They can be exchanged for other currencies, products, and services. As of February 2015, over 100,000 merchants and vendors accepted bitcoin as payment. Bitcoin can also be held as an investment. According to research produced by Cambridge University in 2017, there are 2.9 to 5.8 million unique users using a cryptocurrency wallet, most of them using bitcoin."
personal finance,"Personal finance is the financial management which an individual or a family unit performs to budget, save, and spend monetary resources over time, taking into account various financial risks and future life events. When planning personal finances, the individual would consider the suitability to his or her needs of a range of banking products (checking, savings accounts, credit cards and consumer loans) or investment private equity, (stock market, bonds, mutual funds) and insurance (life insurance, health insurance, disability insurance) products or participation and monitoring of and- or employer-sponsored retirement plans, social security benefits, and income tax management."
management consulting services,"Management consulting is the practice of helping organizations to improve their performance, operating primarily through the analysis of existing organizational problems and the development of plans for improvement. Organizations may draw upon the services of management consultants for a number of reasons, including gaining external (and presumably objective) advice and access to the consultants' specialized expertise.
As a result of their exposure to, and relationships with numerous organizations, consulting firms are typically aware of industry ""best practices."" However, the specific nature of situations under consideration may limit the ability to transfer such practices from one organization to another.
Consultancies may also provide organizational change management assistance, development of coaching skills, process analysis, technology implementation, strategy development, or operational improvement services. Management consultants often bring their own proprietary methodologies or frameworks to guide the identification of problems, and to serve as the basis for recommendations for more effective or efficient ways of performing work tasks. The premier global qualification for a management consulting practitioner is Certified Management Consultant or CMC. Management consulting is not a regulated profession so many individuals that style themselves as management consultants are not CMC's. There is no legal requirement for management consultants to have any qualifications. It is up to the buyer of such services to decide who they hire- Caveat emptor (see criticism below)."
3d printing,"3D printing, also known as additive manufacturing (AM), refers to processes used to create a three-dimensional object in which layers of material are formed under computer control to create an object. Objects can be of almost any shape or geometry and typically are produced using digital model data from a 3D model or another electronic data source such as an Additive Manufacturing File (AMF) file. Stereolithography (STL) is one of the most common file types that 3D printers can read. Thus, unlike material removed from a stock in the conventional machining process, 3D printing or AM builds a three-dimensional object from computer-aided design (CAD) model or AMF file by successively adding material layer by layer.
The term ""3D printing"" originally referred to a process that deposits a binder material onto a powder bed with inkjet printer heads layer by layer. More recently, the term is being used in popular vernacular to encompass a wider variety of additive manufacturing techniques. United States and global technical standards use the official term additive manufacturing for this broader sense."
construction,"Construction is the process of constructing a building or infrastructure. Construction differs from manufacturing in that manufacturing typically involves mass production of similar items without a designated purchaser, while construction typically takes place on location for a known client. Construction as an industry comprises six to nine percent of the gross domestic product of developed countries. Construction starts with planning, design, and financing; and continues until the project is built and ready for use.
Large-scale construction requires collaboration across multiple disciplines. An architect normally manages the job, and a construction manager, design engineer, construction engineer or project manager supervises it. Those involved with the design and execution must consider zoning requirements, environmental impact of the job, scheduling, budgeting, construction-site safety, availability and transportation of building materials, logistics, inconvenience to the public caused by construction delays and bidding. Large construction projects are sometimes referred to as megaprojects."
